"","LATITUDE","LONGITUDE","freq"
"19",42.2346,-71.138,20
"31",42.2356,-71.1372,13
"58",42.2374,-71.1397,13
"59",42.2374,-71.1382,32
"65",42.2381,-71.1353,11
"76",42.2389,-71.1347,13
"411",42.2538,-71.1195,13
"540",42.258,-71.1616,14
"547",42.2582,-71.1604,13
"551",42.2583,-71.1608,15
"556",42.2583,-71.123,18
"572",42.259,-71.1516,20
"651",42.2604,-71.1584,11
"653",42.2604,-71.1525,11
"690",42.2613,-71.1571,14
"710",42.2617,-71.1662,14
"762",42.2628,-71.155,18
"822",42.264,-71.1538,14
"851",42.2645,-71.1541,18
"1006",42.2673,-71.0935,12
"1009",42.2676,-71.1502,19
"1011",42.2676,-71.0938,11
"1025",42.268,-71.0935,11
"1038",42.2685,-71.1492,12
"1042",42.2686,-71.1495,21
"1058",42.2689,-71.1492,45
"1064",42.269,-71.1486,18
"1073",42.2693,-71.1487,11
"1123",42.2703,-71.148,13
"1129",42.2704,-71.1474,15
"1139",42.2706,-71.1472,56
"1154",42.2708,-71.1469,12
"1165",42.271,-71.1466,12
"1193",42.2714,-71.146,28
"1221",42.2717,-71.1457,12
"1236",42.2718,-71.1451,36
"1248",42.2719,-71.1454,66
"1266",42.2721,-71.1452,18
"1286",42.2723,-71.1445,21
"1294",42.2724,-71.1448,19
"1325",42.2729,-71.1437,29
"1363",42.2734,-71.0937,18
"1456",42.2748,-71.1686,11
"1529",42.2758,-71.1672,20
"1551",42.276,-71.1652,14
"1618",42.2768,-71.1409,13
"1660",42.2772,-71.167,35
"1728",42.2779,-71.1827,30
"1734",42.2779,-71.0852,12
"1777",42.2786,-71.1599,18
"1785",42.2787,-71.1803,13
"1821",42.279,-71.1593,14
"1828",42.2791,-71.1767,12
"1893",42.28,-71.1152,13
"1928",42.2806,-71.1681,11
"1940",42.2807,-71.1166,16
"1961",42.2809,-71.117,51
"1968",42.281,-71.1165,36
"1983",42.2812,-71.118,11
"1985",42.2812,-71.1174,15
"1995",42.2813,-71.1178,71
"1996",42.2813,-71.1168,15
"2007",42.2814,-71.1173,28
"2014",42.2815,-71.118,14
"2024",42.2816,-71.1176,17
"2090",42.2822,-71.1177,15
"2186",42.2831,-71.1328,12
"2209",42.2833,-71.1556,14
"2273",42.284,-71.1211,11
"2320",42.2844,-71.1303,14
"2360",42.2848,-71.1096,20
"2378",42.285,-71.1148,13
"2398",42.2851,-71.1152,14
"2399",42.2851,-71.1148,13
"2416",42.2852,-71.1152,16
"2417",42.2852,-71.1148,11
"2470",42.2857,-71.1586,14
"2491",42.2858,-71.1372,12
"2505",42.2859,-71.1291,13
"2529",42.2861,-71.1549,22
"2547",42.2862,-71.1297,11
"2580",42.2864,-71.1179,11
"2599",42.2866,-71.1304,15
"2652",42.2869,-71.1267,12
"2655",42.2869,-71.1182,12
"2677",42.287,-71.1202,13
"2694",42.2871,-71.1274,72
"2698",42.2871,-71.1163,20
"2711",42.2872,-71.1525,18
"2713",42.2872,-71.1477,12
"2723",42.2872,-71.1095,18
"2734",42.2873,-71.1518,14
"2735",42.2873,-71.1517,17
"2754",42.2874,-71.1203,14
"2764",42.2875,-71.1522,24
"2775",42.2875,-71.1201,18
"2786",42.2876,-71.1533,11
"2793",42.2876,-71.1092,11
"2803",42.2877,-71.1516,41
"2809",42.2877,-71.1205,17
"2811",42.2877,-71.1172,12
"2853",42.288,-71.1366,11
"2868",42.2881,-71.1176,13
"2869",42.2881,-71.1085,11
"2934",42.2885,-71.1128,15
"2943",42.2886,-71.1258,37
"3030",42.2893,-71.1256,11
"3111",42.29,-71.124,12
"3172",42.2905,-71.1681,22
"3176",42.2905,-71.1242,17
"3218",42.2908,-71.1489,14
"3219",42.2908,-71.1488,13
"3240",42.291,-71.1687,13
"3281",42.2912,-71.1215,12
"3289",42.2913,-71.1595,17
"3322",42.2915,-71.1225,13
"3346",42.2917,-71.1347,11
"3349",42.2917,-71.0772,15
"3366",42.2918,-71.1228,20
"3367",42.2918,-71.1225,24
"3412",42.2922,-71.1188,15
"3480",42.2928,-71.1214,52
"3598",42.294,-71.134,18
"3654",42.2947,-71.1208,28
"3655",42.2947,-71.1201,26
"3692",42.2952,-71.1188,12
"3698",42.2953,-71.1183,37
"3699",42.2953,-71.0879,14
"3703",42.2954,-71.118,16
"3713",42.2955,-71.0721,16
"3717",42.2956,-71.122,123
"3756",42.2961,-71.1716,29
"3768",42.2962,-71.0725,14
"3773",42.2963,-71.072,21
"3801",42.2967,-71.1177,15
"3810",42.2968,-71.0785,11
"3827",42.2971,-71.1171,45
"3843",42.2973,-71.1454,13
"3849",42.2974,-71.1727,11
"3863",42.2977,-71.173,15
"3881",42.2978,-71.0723,11
"3883",42.2979,-71.1165,92
"3890",42.298,-71.1149,17
"3898",42.2981,-71.0871,31
"3912",42.2983,-71.1158,49
"3920",42.2985,-71.1724,22
"3929",42.2986,-71.0636,11
"3941",42.2987,-71.0714,13
"3975",42.2993,-71.107,15
"3987",42.2995,-71.1139,11
"3993",42.2996,-71.1156,34
"4002",42.2998,-71.1162,15
"4012",42.3,-71.1132,14
"4028",42.3002,-71.115,12
"4035",42.3002,-71.0661,11
"4037",42.3003,-71.1698,34
"4038",42.3003,-71.1197,42
"4049",42.3004,-71.113,31
"4058",42.3005,-71.1147,23
"4060",42.3005,-71.1066,22
"4069",42.3006,-71.1159,27
"4093",42.3009,-71.1095,19
"4094",42.3009,-71.0837,15
"4114",42.3011,-71.0675,16
"4127",42.3013,-71.0738,13
"4136",42.3014,-71.0706,17
"4158",42.3017,-71.1338,28
"4164",42.3018,-71.1331,15
"4166",42.3018,-71.1121,21
"4177",42.3019,-71.0855,12
"4191",42.3021,-71.0776,14
"4194",42.3022,-71.0874,30
"4216",42.3024,-71.0735,19
"4227",42.3026,-71.1356,16
"4252",42.3029,-71.0782,11
"4297",42.3034,-71.0785,22
"4298",42.3034,-71.0715,18
"4305",42.3036,-71.1253,11
"4321",42.3037,-71.0606,13
"4326",42.3038,-71.0755,13
"4334",42.3038,-71.0601,13
"4347",42.304,-71.1076,17
"4358",42.3041,-71.0608,14
"4371",42.3044,-71.0763,13
"4383",42.3045,-71.0733,29
"4397",42.3046,-71.0612,13
"4402",42.3047,-71.0801,16
"4449",42.3053,-71.0805,40
"4469",42.3055,-71.1115,11
"4471",42.3055,-71.1084,12
"4481",42.3056,-71.1141,11
"4482",42.3056,-71.0779,27
"4492",42.3057,-71.0773,13
"4504",42.3059,-71.119,11
"4509",42.306,-71.0782,43
"4510",42.306,-71.0778,12
"4515",42.3061,-71.1108,14
"4535",42.3064,-71.103,17
"4546",42.3065,-71.058,16
"4552",42.3066,-71.1028,23
"4553",42.3066,-71.0823,17
"4569",42.3068,-71.103,12
"4574",42.3068,-71.0692,12
"4578",42.3069,-71.107,46
"4588",42.3071,-71.1047,13
"4594",42.3071,-71.0626,14
"4607",42.3073,-71.0629,23
"4610",42.3074,-71.1006,11
"4615",42.3075,-71.0794,15
"4618",42.3075,-71.0627,13
"4619",42.3076,-71.089,16
"4621",42.3076,-71.0633,15
"4627",42.3077,-71.0636,17
"4634",42.3078,-71.1065,14
"4676",42.3082,-71.1052,13
"4692",42.3085,-71.116,15
"4695",42.3085,-71.1081,17
"4713",42.3088,-71.1071,11
"4753",42.3093,-71.1328,15
"4757",42.3093,-71.0828,57
"4765",42.3094,-71.1068,12
"4787",42.3096,-71.1066,22
"4790",42.3096,-71.0732,17
"4802",42.3097,-71.1024,12
"4834",42.31,-71.0601,18
"4845",42.3102,-71.1065,14
"4904",42.3107,-71.0623,25
"4906",42.3107,-71.0583,11
"4914",42.3108,-71.1037,14
"4920",42.3109,-71.1305,11
"4979",42.3114,-71.1153,54
"5003",42.3115,-71.0505,15
"5004",42.3115,-71.0476,24
"5013",42.3116,-71.1017,13
"5023",42.3117,-71.1015,16
"5049",42.3119,-71.0746,23
"5054",42.3119,-71.0483,20
"5068",42.312,-71.072,23
"5104",42.3123,-71.1017,66
"5154",42.3128,-71.0589,21
"5189",42.3132,-71.1035,15
"5241",42.3139,-71.1005,15
"5250",42.3141,-71.1029,24
"5251",42.3141,-71.1003,20
"5252",42.3141,-71.0993,17
"5256",42.3142,-71.1107,19
"5264",42.3143,-71.0982,12
"5266",42.3143,-71.0977,12
"5280",42.3145,-71.1139,15
"5283",42.3145,-71.1048,21
"5306",42.3146,-71.066,14
"5329",42.3149,-71.0784,12
"5376",42.3157,-71.0984,25
"5379",42.3158,-71.1096,11
"5429",42.3167,-71.0915,11
"5451",42.317,-71.1049,26
"5504",42.3176,-71.0427,12
"5540",42.3181,-71.1049,11
"5544",42.3182,-71.1106,16
"5562",42.3184,-71.1094,11
"5578",42.3186,-71.1263,15
"5596",42.3187,-71.0448,11
"5632",42.3191,-71.1106,13
"5647",42.3192,-71.0776,12
"5654",42.3193,-71.1051,12
"5659",42.3194,-71.1115,18
"5672",42.3195,-71.1116,20
"5679",42.3195,-71.065,13
"5725",42.3202,-71.1121,26
"5777",42.3208,-71.0741,12
"5778",42.3208,-71.0719,11
"5786",42.3209,-71.0642,16
"5793",42.321,-71.1074,26
"5840",42.3216,-71.1121,26
"5845",42.3216,-71.0568,12
"5847",42.3217,-71.1104,13
"5849",42.3217,-71.0868,12
"5855",42.3218,-71.096,14
"5878",42.322,-71.0605,11
"5881",42.3221,-71.116,23
"5887",42.3221,-71.057,11
"5914",42.3225,-71.0984,25
"5935",42.3228,-71.1124,26
"5952",42.3231,-71.1122,22
"5962",42.3232,-71.1133,11
"6004",42.3237,-71.0602,19
"6008",42.3238,-71.0739,16
"6010",42.3239,-71.1123,21
"6021",42.324,-71.0712,16
"6053",42.3247,-71.0696,15
"6060",42.3249,-71.0983,15
"6091",42.3254,-71.0736,17
"6108",42.3257,-71.0588,11
"6123",42.3259,-71.0589,13
"6139",42.3261,-71.0753,15
"6142",42.3261,-71.0586,13
"6150",42.3262,-71.0585,14
"6190",42.3267,-71.0715,11
"6207",42.3269,-71.067,15
"6295",42.3284,-71.0784,11
"6529",42.3319,-71.113,22
"6597",42.3326,-71.0723,13
"6602",42.3328,-71.0744,13
"6733",42.3339,-71.0353,18
"6930",42.3357,-71.1499,16
"6933",42.3357,-71.087,22
"6949",42.3359,-71.1509,20
"7074",42.337,-71.1092,20
"7211",42.3381,-71.0355,12
"7284",42.3389,-71.1073,29
"7292",42.339,-71.1064,16
"7449",42.3406,-71.0515,30
"7462",42.3408,-71.0707,11
"7480",42.341,-71.0635,17
"7491",42.3411,-71.0508,26
"7512",42.3414,-71.1581,12
"7555",42.3418,-71.0555,11
"7639",42.3427,-71.0849,33
"7696",42.3432,-71.1424,11
"7720",42.3433,-71.1026,17
"7731",42.3434,-71.0858,12
"7754",42.3436,-71.1461,11
"7908",42.3448,-71.0765,13
"8214",42.3479,-71.0856,14
"8264",42.3483,-71.0716,14
"8339",42.3489,-71.0885,16
"8367",42.3491,-71.0886,26
"8375",42.3492,-71.1517,20
"8399",42.3493,-71.0769,15
"8474",42.3498,-71.0748,19
"8633",42.3507,-71.0752,13
"8650",42.3508,-71.0895,16
"8683",42.351,-71.145,32
"8766",42.3514,-71.0529,15
"8782",42.3515,-71.0628,12
"8788",42.3516,-71.143,25
"8870",42.352,-71.0615,17
"9072",42.3532,-71.0485,11
"9101",42.3536,-71.1375,17
"9308",42.3563,-71.0623,14
"9447",42.3577,-71.0632,11
"9651",42.3593,-71.0543,12
"9673",42.3594,-71.0587,959
"9774",42.3601,-71.0579,108
"9783",42.3602,-71.0571,22
"9794",42.3603804,-71.107322,11
"9849",42.3609,-71.1177,20
"9958",42.3616675,-71.1134262,18
"10001",42.3619765,-71.0800987,13
"10073",42.3625939,-71.1099081,18
"10130",42.3630826,-71.0949328,17
"10150",42.3632222,-71.1107756,26
"10395",42.3647663,-71.1105578,15
"10453",42.3651258,-71.0961472,13
"10481",42.3652884,-71.0789787,18
"10664",42.3664685,-71.1437708,11
"10706",42.3667225,-71.0980155,16
"10710",42.3667916,-71.1060094,256
"10711",42.3667936,-71.106006,12
"10732",42.367,-71.0585,19
"10759",42.3672,-71.0525,14
"10778",42.3674,-71.0592,29
"10822",42.3677393,-71.1149335,20
"10825",42.367751,-71.11365,19
"10851",42.368,-71.0387,12
"10940",42.3686551,-71.1092883,12
"11045",42.3694243,-71.0955724,12
"11097",42.3697442,-71.0801187,11
"11320",42.3711728,-71.124312,28
"11337",42.3712627,-71.0978012,11
"11395",42.3716604,-71.1127692,27
"11599",42.3728,-71.0343,11
"11763",42.3737912,-71.1123202,36
"11811",42.3742,-71.068,20
"11866",42.3746,-71.0377,12
"11877",42.3747765,-71.1316344,37
"11911",42.3749057,-71.1186134,95
"11918",42.3749681,-71.1522567,13
"12029",42.3754686,-71.1142987,31
"12075",42.3757121,-71.1281577,13
"12168",42.3762796,-71.1233434,15
"12311",42.3771983,-71.111447,14
"12391",42.3777,-71.07,19
"12572",42.3786997,-71.1473918,54
"12580",42.3787,-71.0294,16
"12652",42.3791,-71.051,12
"12756",42.3798,-71.0266,11
"12796",42.38,-71.0254,18
"12853",42.3804,-71.0248,11
"12877",42.3805605,-71.1419765,34
"12882",42.3806,-71.0267,11
"12912",42.3807694,-71.1094271,12
"13073",42.3819829,-71.1266339,11
"13298",42.3836,-71.0721,14
"13436",42.3844809,-71.1333883,23
"13507",42.3851,-71.0123,15
"13562",42.3855,-71.0031,20
"13608",42.3859,-71.0068,20
"13630",42.3861,-71.0046,12
"13638",42.3862,-71.0767,23
"13640",42.3862,-71.0088,12
"13712",42.386755,-71.1406825,18
"13725",42.3869,-71.0067,11
"13856",42.3889,-71.0108,24
"13908",42.3897,-71.0041,15
"13910",42.3897041,-71.1326803,22
"13942",42.3899951,-71.142193,11
"13950",42.3901,-71.0116,12
"14030",42.3911,-71.0125,31
"14109",42.3921604,-71.1506852,12
"14200",42.3934346,-71.1257788,17
"14250",42.3946753,-71.1445611,11
"14294",42.3957499,-71.1326467,12
